Date de vaccination;18-29 ans;;;30-49 ans;;;50-69 ans;;;70-79 ans;;;80 ans et plus;;
;Au moins une dose;Deux doses;Adéquatement vaccinés;Au moins une dose;Deux doses;Adéquatement vaccinés;Au moins une dose;Deux doses;Adéquatement vaccinés;Au moins une dose;Deux doses;Adéquatement vaccinés;Au moins une dose;Deux doses;Adéquatement vaccinés
2021-05-05;14,0797%;1,7073%;2,3630%;23,3406%;2,2676%;3,2475%;66,4364%;2,3635%;3,9095%;93,7039%;2,2615%;3,5439%;94,1174%;5,7372%;8,6961%
2021-05-06;14,7019%;1,8621%;2,5352%;25,0654%;2,4621%;3,4876%;68,4512%;2,5366%;4,1289%;93,8942%;2,3650%;3,6466%;94,2364%;6,1218%;9,0576%
2021-05-07;15,2811%;2,0086%;2,7002%;26,5188%;2,6732%;3,7360%;70,1635%;2,6959%;4,3309%;94,0489%;2,4537%;3,7319%;94,3157%;6,5140%;9,4192%
2021-05-08;15,7893%;2,1113%;2,8178%;27,7753%;2,7956%;3,8921%;71,6917%;2,7929%;4,4725%;94,1505%;2,4907%;3,7710%;94,3596%;6,6105%;9,5153%
2021-05-09;16,1598%;2,1626%;2,8817%;28,9860%;2,8579%;3,9851%;72,9029%;2,8414%;4,5573%;94,2257%;2,5177%;3,7981%;94,3924%;6,6250%;9,5316%
2021-05-10;16,4715%;2,2578%;2,9877%;30,2964%;2,9741%;4,1338%;73,7786%;2,9704%;4,7113%;94,2834%;2,6470%;3,9276%;94,4361%;7,0551%;9,9599%
2021-05-11;16,8713%;2,3432%;3,0866%;31,9470%;3,0803%;4,2832%;74,8187%;3,0904%;4,8611%;94,3822%;2,8033%;4,0838%;94,5096%;7,5613%;10,4576%
2021-05-12;17,6273%;2,4859%;3,2528%;33,9337%;3,2622%;4,5207%;76,0459%;3,2820%;5,0851%;94,5233%;3,0690%;4,3473%;94,5999%;8,1026%;10,9916%
2021-05-13;18,5755%;2,6293%;3,4242%;36,4509%;3,4705%;4,7957%;77,3379%;3,4973%;5,3322%;94,6696%;3,2551%;4,5326%;94,6801%;8,7625%;11,6333%
2021-05-14;19,8698%;2,7585%;3,5948%;38,4063%;3,6445%;5,0283%;78,5875%;3,6694%;5,5430%;94,7756%;3,4329%;4,7091%;94,7493%;9,4647%;12,3256%
2021-05-15;21,1258%;2,8517%;3,7202%;40,3638%;3,7476%;5,1904%;79,7241%;3,7645%;5,6751%;94,8708%;3,4856%;4,7633%;94,7961%;9,5527%;12,4143%
2021-05-16;22,0662%;2,8865%;3,7847%;42,2283%;3,7826%;5,2783%;80,4508%;3,8060%;5,7395%;94,9392%;3,5387%;4,8172%;94,8304%;9,7508%;12,6091%
2021-05-17;23,4097%;2,9606%;3,8973%;43,6243%;3,8793%;5,4188%;80,9763%;3,9220%;5,8692%;94,9930%;3,7745%;5,0478%;94,8722%;11,0453%;13,8715%
2021-05-18;24,6823%;3,0029%;3,9856%;45,2389%;3,9327%;5,5180%;81,4165%;4,0120%;5,9726%;95,0635%;4,0488%;5,3199%;94,9292%;12,3858%;15,1964%
2021-05-19;26,1238%;3,0672%;4,0951%;47,2625%;4,0080%;5,6467%;82,0687%;4,1287%;6,1072%;95,1519%;4,3916%;5,6607%;94,9910%;14,0294%;16,8080%
2021-05-20;28,0084%;3,1578%;4,2446%;49,7241%;4,1168%;5,8227%;82,7638%;4,2760%;6,2718%;95,2447%;4,7115%;5,9768%;95,0650%;15,5594%;18,2854%
2021-05-21;29,5282%;3,2295%;4,3613%;51,8618%;4,2202%;5,9921%;83,3995%;4,4072%;6,4195%;95,3082%;5,0409%;6,3021%;95,1178%;17,1462%;19,8511%
2021-05-22;31,1221%;3,2733%;4,4558%;53,8339%;4,2623%;6,0934%;84,0572%;4,4690%;6,5048%;95,3718%;5,1402%;6,4027%;95,1576%;17,5283%;20,2235%
2021-05-23;32,7552%;3,2997%;4,5364%;55,3088%;4,2866%;6,1619%;84,4253%;4,5233%;6,5729%;95,4157%;5,2555%;6,5176%;95,1865%;18,0598%;20,7469%
2021-05-24;33,8600%;3,3403%;4,6109%;56,2233%;4,3258%;6,2309%;84,6420%;4,6054%;6,6619%;95,4560%;5,6015%;6,8587%;95,2198%;19,3444%;22,0017%
2021-05-25;35,2500%;3,4204%;4,7358%;57,2274%;4,4153%;6,3479%;84,8683%;4,7209%;6,7827%;95,5007%;5,9265%;7,1781%;95,2672%;21,0555%;23,6664%
2021-05-26;37,2213%;3,5176%;4,9008%;58,7333%;4,5317%;6,5075%;85,2624%;4,8785%;6,9517%;95,5797%;6,2845%;7,5330%;95,3338%;22,6938%;25,2615%
2021-05-27;39,6952%;3,6083%;5,0781%;60,4367%;4,6521%;6,6790%;85,6945%;5,0544%;7,1395%;95,6658%;6,6585%;7,9064%;95,4030%;24,1907%;26,7359%
2021-05-28;41,8669%;3,7018%;5,2512%;62,1976%;4,7596%;6,8484%;86,1464%;5,2119%;7,3134%;95,7286%;6,9691%;8,2144%;95,4482%;25,2679%;27,7784%
2021-05-29;43,8329%;3,7507%;5,3605%;63,6615%;4,8122%;6,9490%;86,5238%;5,4852%;7,6038%;95,7812%;8,3242%;9,5655%;95,4790%;25,7693%;28,2703%
2021-05-30;45,6503%;3,7835%;5,4574%;64,6939%;4,8626%;7,0375%;86,7885%;5,7067%;7,8399%;95,8208%;9,2982%;10,5365%;95,5020%;26,1422%;28,6421%
2021-05-31;47,2380%;3,8365%;5,5712%;65,5324%;4,9486%;7,1530%;87,0119%;6,0438%;8,1829%;95,8706%;10,6005%;11,8353%;95,5362%;27,1594%;29,6432%
